COMUNE,P,LAT,LON
ROGLIANO,0.0016528925619835,42.9550038,9.4167858
ROSPIGLIANI,0.0016528925619835,42.1904198,9.2299352
RUTALI,0.0033057851239669,42.57966,9.36288
SALICETO,0.0033057851239669,42.3995029,9.2953131
SAN GIOVANNI DI MORIANI,0.0016528925619835,42.3713968,9.45993964666667
SAN GIULIANO,0.011570247933884,42.2845005,9.53605218174603
SAN NICOLAO,0.011570247933884,42.3706486,9.5000839
SAN-GAVINO-D'AMPUGNANI,0.0016528925619835,42.4125543,9.4231285
SAN-MARTINO-DI-LOTA,0.0016528925619835,42.7363431,9.4377499
SANT'ANDREA-DI-COTONE,0.0033057851239669,42.3132786,9.4798889
SANTA MARIA POGGIO,0.0082644628099174,42.3461105,9.4971696
SANTA-MARIA-DI-LOTA,0.0016528925619835,42.74687,9.43261
SANTO PIETRO DI TENDA,0.0066115702479339,42.6047247,9.259721
SCATA,0.0016528925619835,42.4167543,9.4024713
SERMANO,0.0016528925619835,42.31392,9.26716
SERRA DI FIUMORBO,0.0049586776859504,41.9851408,9.3362325
SILVARECCIO,0.0033057851239669,42.4498843,9.4093
SISCO,0.014876033057851,42.81522065,9.44827108183606
SOLARO,0.0082644628099174,41.9044965,9.3282868
SORBO OCAGNANO,0.014876033057851,42.4758686,9.4572465
SOVERIA,0.0016528925619835,42.3591742,9.1645237
SPELONCATO,0.0016528925619835,42.5616981,8.9810196
SAINT FLORENT,0.0049586776859504,42.681295,9.3024991
SANTA LUCIA DI MORIANI,0.0099173553719008,42.3842071,9.5299084
SANTA REPARATA DI BALAGNA,0.0049586776859504,42.603921,8.9294254
TAGLIO ISOLACCIO,0.0033057851239669,42.434778,9.4693977
TALASANI,0.0016528925619835,42.4082429,9.4799646
TALLONE,0.0082644628099174,42.2315175,9.413538
TOX,0.0016528925619835,42.2512729,9.4302487
TRALONCA,0.0016528925619835,42.343341,9.2087897
VALLE D'ALESANI,0.0016528925619835,42.3267685,9.4156772
VALLE DI CAMPOLORO,0.0066115702479339,42.3353329,9.4939812
VALLE DI ROSTINO,0.0016528925619835,42.4596199,9.2813779
VALLECALLE,0.0016528925619835,42.5986371,9.3388751
VELONE ORNETO,0.0033057851239669,42.4008628,9.4712197
VENACO,0.0016528925619835,42.2315887,9.1718445
VENTISERI,0.013223140495868,41.9431721,9.3331152
VENZOLASCA,0.014876033057851,42.48387,9.456
VESCOVATO,0.046280991735537,42.4936573,9.4387142
VIGNALE,0.0033057851239669,42.5377641,9.381635
VILLE DI PARASO,0.0049586776859504,42.5652914,8.9857134
VIVARIO,0.0033057851239669,42.1721316,9.1696353
VOLPAJOLA,0.028099173553719,42.52612,9.35338
ZALANA,0.0016528925619835,42.2603086,9.3759998
ZILIA,0.0049586776859504,42.5179245,8.90150461029412
